,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00
20040928,,-0.018818699,-0.012601907,-0.016202821,,-0.031148822,-0.019191042,-0.02456184,,,-0.028995336,-0.017348688,-0.025949008,-0.017083966
20040929,-0.020805503,,-0.019988271,-0.025130712,,,,-0.02291262,-0.029009952,,,,-0.024011135,-0.027256646
20040930,,,-0.022061343,,-0.022515898,-0.022015811,-0.023285133,,-0.020851172,,,-0.037079497,-0.011213465,
20041001,-0.014132269,-0.023684043,-0.022282874,-0.032833702,-0.035774434,-0.023730099,-0.021933939,-0.022013435,,-0.017700042,-0.024068037,-0.043800983,-0.027296141,-0.020668334
20041004,0.011115872,-0.029372299,-0.024233513,-0.020657587,-0.015473109,,-0.021673221,,,,,-0.006048847,-0.017531821,
20041005,-0.025140535,-0.021463706,-0.029389758,,,,-0.023826659,,,,,,-0.030189937,-0.036074335
20041006,-0.018637008,-0.019638986,-0.031063063,,-0.01903872,,-0.032628712,-0.020722568,,,-0.02562766,,-0.018659561,-0.026455539
20041007,-0.027640326,-0.017253953,-0.023198094,,-0.011698764,,,-0.015797118,,,-0.026550044,,-0.015172749,-0.015063645
20041008,,-0.018770778,-0.018592272,-0.011275117,-0.015381416,-0.001627016,,,-0.03253973,-0.016679649,-0.019549282,-0.016420529,-0.027800914,-0.030178882
20041011,,,-0.020464639,,-0.018542425,-0.018439993,,,,-0.020638721,,,-0.022024589,-0.013163918
20041012,-0.039995962,-0.014973412,-0.021489001,-0.017126194,,,-0.01434101,-0.035365552,,,-0.028647417,-0.034063314,-0.015511223,-0.020362392
20041013,-0.003729391,-0.011765221,,-0.01544598,-0.023354934,-0.020748825,-0.015256282,,-0.018543085,-0.019314826,-0.017212538,-0.025774148,-0.01804204,
